20012025212917, 14, "Stanley #2 Philips Screwdriver", 6.95, 1, 0.0, $6.95, January 20, 2025, 9:29:17 PM EST
20012025212917, 97634, "Campagnolo 12 spd crankset - 53/39 175mm", 750.00, 1, 0.0, $750.00, January 20, 2025, 9:29:17 PM EST

20012025213014, 14, "Stanley #2 Philips Screwdriver", 6.95, 3, 0.0, $20.85, January 20, 2025, 9:30:14 PM EST

20012025213215, 14, "Stanley #2 Philips Screwdriver", 6.95, 3, 0.0, $20.85, January 20, 2025, 9:32:15 PM EST

20012025213333, 14, "Stanley #2 Philips Screwdriver", 6.95, 5, 0.1, $31.28, January 20, 2025, 9:33:33 PM EST
20012025213333, 22389, "Swingline Model B2200 Red stapler", 18.00, 4, 0.0, $72.00, January 20, 2025, 9:33:33 PM EST
20012025213333, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 25, 0.2, $179.80, January 20, 2025, 9:33:33 PM EST
20012025213333, 3030BX, "3030 aluminum extrusion 1500mm black", 35.00, 4, 0.0, $140.00, January 20, 2025, 9:33:33 PM EST
20012025213333, 2234983, "Wilson NCAA official softball - 1 doz", 55.00, 10, 0.2, $467.50, January 20, 2025, 9:33:33 PM EST

